,bicoloring,date,density,frustration_score,threshold
48,"{'IHG': 1, 'III': 1, 'CRH': 1, 'PSON': 1, 'GSK': 1, 'MRO': 1, 'TSCO': 1, 'AZN': 1, 'WPP': 1, 'PRU': 1, 'VOD': 1, 'SVT': 1, 'RIO': 1, 'IAG': 1, 'CCL': 1, 'EVR': 1, 'RBS': 1, 'ADM': 1, 'AHT': 1, 'CNA': 1, 'STAN': 1}",2009-04-30,0.5238095238095238,0.00909090909090909,0.30000000000000004
49,"{'IHG': 1, 'III': 1, 'CRH': 1, 'PSON': 0, 'GSK': 1, 'MRO': 1, 'TSCO': 1, 'AZN': 1, 'WPP': 1, 'PRU': 1, 'VOD': 1, 'SVT': 0, 'RIO': 1, 'IAG': 1, 'CCL': 1, 'EVR': 1, 'RBS': 1, 'ADM': 1, 'AHT': 1, 'CNA': 1, 'STAN': 1}",2009-09-30,0.5095238095238095,0.009345794392523364,0.30000000000000004
50,"{'IHG': 1, 'III': 1, 'CRH': 1, 'PSON': 1, 'GSK': 1, 'MRO': 1, 'TSCO': 1, 'AZN': 1, 'WPP': 1, 'PRU': 1, 'VOD': 0, 'SVT': 1, 'RIO': 1, 'IAG': 1, 'CCL': 1, 'EVR': 1, 'RBS': 1, 'ADM': 1, 'AHT': 1, 'CNA': 1, 'STAN': 1}",2010-02-28,0.6095238095238096,0.0078125,0.30000000000000004
51,"{'IHG': 0, 'III': 0, 'CRH': 0, 'PSON': 1, 'GSK': 0, 'MRO': 0, 'TSCO': 0, 'AZN': 0, 'WPP': 0, 'PRU': 0, 'VOD': 0, 'SVT': 0, 'RIO': 0, 'IAG': 0, 'CCL': 0, 'EVR': 0, 'RBS': 0, 'ADM': 0, 'AHT': 0, 'CNA': 0, 'STAN': 0}",2010-07-31,0.6761904761904762,0.007042253521126761,0.30000000000000004
52,"{'IHG': 0, 'III': 1, 'CRH': 0, 'PSON': 1, 'GSK': 0, 'MRO': 0, 'TSCO': 0, 'AZN': 0, 'WPP': 0, 'PRU': 0, 'VOD': 0, 'SVT': 1, 'RIO': 0, 'IAG': 1, 'CCL': 0, 'EVR': 1, 'RBS': 0, 'ADM': 0, 'AHT': 0, 'CNA': 0, 'STAN': 0}",2010-12-31,0.4666666666666667,0.01020408163265306,0.30000000000000004
53,"{'IHG': 0, 'III': 1, 'CRH': 0, 'PSON': 0, 'GSK': 0, 'MRO': 0, 'TSCO': 0, 'AZN': 0, 'WPP': 0, 'PRU': 0, 'VOD': 0, 'SVT': 1, 'RIO': 0, 'IAG': 0, 'CCL': 0, 'EVR': 0, 'RBS': 0, 'ADM': 0, 'AHT': 0, 'CNA': 0, 'STAN': 0}",2011-05-31,0.5190476190476191,0.01834862385321101,0.30000000000000004
54,"{'IHG': 1, 'III': 1, 'CRH': 1, 'PSON': 0, 'GSK': 1, 'MRO': 1, 'TSCO': 1, 'AZN': 1, 'WPP': 1, 'PRU': 1, 'VOD': 1, 'SVT': 1, 'RIO': 1, 'IAG': 1, 'CCL': 1, 'EVR': 1, 'RBS': 1, 'ADM': 1, 'AHT': 1, 'CNA': 1, 'STAN': 1}",2011-10-31,0.8285714285714286,0.0,0.30000000000000004
55,"{'IHG': 1, 'III': 1, 'CRH': 1, 'PSON': 1, 'GSK': 1, 'MRO': 1, 'TSCO': 1, 'AZN': 1, 'WPP': 1, 'PRU': 1, 'VOD': 1, 'SVT': 0, 'RIO': 1, 'IAG': 1, 'CCL': 1, 'EVR': 1, 'RBS': 1, 'ADM': 1, 'AHT': 1, 'CNA': 1, 'STAN': 1}",2012-03-31,0.5619047619047619,0.0,0.30000000000000004
56,"{'IHG': 0, 'III': 0, 'CRH': 0, 'PSON': 1, 'GSK': 0, 'MRO': 0, 'TSCO': 0, 'AZN': 0, 'WPP': 0, 'PRU': 0, 'VOD': 0, 'SVT': 1, 'RIO': 0, 'IAG': 0, 'CCL': 0, 'EVR': 0, 'RBS': 0, 'ADM': 0, 'AHT': 0, 'CNA': 0, 'STAN': 0}",2012-08-31,0.38095238095238093,0.0,0.30000000000000004
57,"{'IHG': 0, 'III': 0, 'CRH': 0, 'PSON': 0, 'GSK': 0, 'MRO': 0, 'TSCO': 0, 'AZN': 0, 'WPP': 0, 'PRU': 0, 'VOD': 0, 'SVT': 0, 'RIO': 0, 'IAG': 0, 'CCL': 0, 'EVR': 0, 'RBS': 0, 'ADM': 0, 'AHT': 0, 'CNA': 0, 'STAN': 0}",2013-01-31,0.5285714285714286,0.0,0.30000000000000004
